"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/kampanya/alisveris/8",1,0,1000,1021,1021,1021,215875,0.05
"GET","/kampanya/liste/65968/adidas-kids?ft=1057:33377,33289,33371,33324",1,0,840,840,840,840,538811,0.05
"GET","/kampanya/liste/66052/anne-ve-anne-adaylari?ft=1057:31885",1,0,1200,1182,1182,1182,518713,0.05
"GET","/kampanya/liste/66057/beta",1,0,1100,1098,1098,1098,506501,0.05
"GET","/kampanya/liste/66098/piaff-ic-giyim",1,0,970,967,967,967,500903,0.05
"GET","/kampanya/liste/66100/cacharel?ft=1057:32418",1,0,950,946,946,946,560727,0.05
"GET","/kampanya/liste/66106/beymen-designer-erkek?ft=1057:32418",1,0,1000,1042,1042,1042,644465,0.05
"GET","/kampanya/liste/66110/sicacik-kislik-montlar",1,0,2000,1954,1954,1954,529801,0.05
"GET","/kampanya/liste/66156/loves-you-yilin-son-firsati",1,0,980,980,980,980,539606,0.05
"GET","/kampanya/liste/66182/bebek-bakim",1,0,860,863,863,863,549162,0.05
"GET","/kampanya/liste/66184/mis-kokan-yillara-",1,0,780,776,776,776,477477,0.05
"GET","/kampanya/liste/66260/pazar-surprizi?ft=1057:32418",1,0,870,868,868,868,542000,0.05
"GET","/koton/erkek/2/44080/marka?ch=e&ft=1057:32418",1,0,460,457,457,457,525342,0.05
"GET","/kozmetik-avantajli-setler/390/liste",1,0,1300,1347,1347,1347,387074,0.05
"GET","/kozmetik-cilt-bakimi-cilt-bakim-setleri/606/liste",2,0,190,229,191,268,314030,0.09
"GET","/kozmetik-cilt-bakimi-erkek-bakimi/604/liste",1,0,280,275,275,275,479412,0.05
"GET","/kozmetik-cilt-bakimi-goz-bakimi/260/liste",1,0,220,221,221,221,374702,0.05
"GET","/kozmetik-cilt-bakimi-vucut-bakimi/602/liste",1,0,270,271,271,271,475959,0.05
"GET","/kozmetik-makyaj-dudak-makyaji/252/liste",2,0,210,233,206,261,479891,0.09
"GET","/kozmetik-makyaj-makyaj-firca-ve-aks/612/liste",1,0,260,260,260,260,481867,0.05
"GET","/kozmetik-makyaj-makyaj-temizleyiciler/611/liste",1,0,290,290,290,290,399294,0.05
"GET","/kozmetik-makyaj-yuz-makyaji/609/liste",2,0,200,247,198,296,486160,0.09
"GET","/kozmetik-parfum-kadin-parfum/244/liste",2,0,210,258,210,306,479702,0.09
"GET","/kozmetik-parfum/236/liste",1,0,240,239,239,239,487555,0.05
"GET","/kozmetik-parfum/236/liste?ft=1057:32418",1,0,350,348,348,348,477122,0.05
"GET","/kozmetik-sac-bakimi/241/liste",1,0,290,286,286,286,499532,0.05
"GET","/kozmetik/235/vitrin",3,0,140,136,133,142,263968,0.14
"GET","/lacoste/markalar/0/32763/marka",1,0,340,343,343,343,523823,0.05
"GET","/markalar/0/marka",8,0,660,1164,619,1734,530049,0.36
"GET","/minene/markalar/0/108194/marka",1,0,280,275,275,275,446658,0.05
"GET","/movom/markalar/0/154044/marka",1,0,300,298,298,298,467272,0.05
"GET","/only/markalar/0/31887/marka",1,0,310,311,311,311,350278,0.05
"GET","/outdoor/479/morhipo-ozel",1,0,76,76,76,76,257272,0.05
"GET","/paylastik/176/vitrin",1,0,220,222,222,222,250043,0.05
"GET","/pinky-goat/markalar/0/177143/marka",1,0,1300,1334,1334,1334,310717,0.05
"GET","/qdec/markalar/0/130005/marka",1,0,310,311,311,311,480149,0.05
"GET","/sneaker/580/morhipo-ozel",1,0,79,79,79,79,246286,0.05
"GET","/spor-giyim-jean-genc-giyim-canta-aksesuar/515/liste",1,0,1300,1291,1291,1291,537788,0.05
"GET","/spor-giyim-jean-genc-giyim-dis-giyim/514/liste",1,0,410,409,409,409,523461,0.05
"GET","/spor-giyim-kadin-ayakkabi-bot-cizme/588/liste",1,0,260,265,265,265,490454,0.05
"GET","/spor-giyim-kadin-ayakkabi-plaj-terligi/576/liste",1,0,200,200,200,200,308382,0.05
"GET","/spor-giyim-kadin-ayakkabi-sneaker/574/liste",1,0,350,354,354,354,501395,0.05
"GET","/spor-giyim-kadin-ayakkabi/573/liste",1,0,1400,1352,1352,1352,520480,0.05
"GET","/spor-giyim-spor-ekipman-ayakkabi/517/liste",1,0,360,357,357,357,518930,0.05
"GET","/spor-giyim-spor-ekipman-dis-giyim/518/liste",1,0,400,405,405,405,500169,0.05
"GET","/spor-giyim-spor-ekipman-giyim/516/liste",1,0,390,391,391,391,550496,0.05
"GET","/spor-giyim-spor-ekipman/510/liste",1,0,570,570,570,570,629213,0.05
"GET","/spor-giyim/503/vitrin",3,0,190,201,124,287,271687,0.14
"GET","/sss",1,0,140,138,138,138,459663,0.05
"GET","/sss?k=22",1,0,140,140,140,140,459685,0.05
"None","Total",154,0,300,473,71,1954,456289,6.97
